Abounding_with,Locative_relation
Abundance,Gradable_attributes
Abusing,Committing_crime
Accompaniment,Relation
Accoutrements,Artifact
Accuracy,Inclination
Achieving_first,Intentionally_create
Activity,Process
Activity_abandoned_state,Activity
Activity_done_state,Activity,State
Activity_finish,Activity,Intentionally_act,Process_end
Activity_ongoing,Activity,Process_continue
Activity_pause,Activity
Activity_paused_state,Activity
Activity_prepare,Activity
Activity_ready_state,Activity
Activity_resume,Activity
Activity_start,Activity
Activity_stop,Activity
Addiction,Gradable_attributes
Adjusting,Intentionally_affect
Adorning,Locative_relation
Aesthetics,Desirability,Gradable_attributes
Age,Measurable_attributes
Aging,Eventive_affecting
Agriculture,Attempt_obtain_food_scenario
Aiming,Attempt_distant_interaction_scenario,Manipulation
Alignment_image_schema,Image_schema
Altered_phase,Change_of_phase_scenario
Amalgamation,Reciprocality
Amassing,Getting
Ammunition,Artifact
Annoyance,Emotions_by_stimulus
Appearance,Perception
Apply_heat,Activity,Intentionally_affect
Architectural_part,Shaped_part
Arithmetic_commutative,Arithmetic
Arithmetic_non-commutative,Arithmetic
Arraignment,Criminal_process,Process
Arranging,Intentionally_affect
Arrest,Criminal_process,Intentionally_affect
Arriving,Eventive_affecting,Traversing
Artifact,Entity
Artificiality,Gradable_attributes
Assessing,Cogitation
Assistance,Intentionally_act
Atonement,Intentionally_act
Attaching,Intentionally_affect
Attack,Intentionally_affect
Attempt,Attempting_scenario
Attempt_distant_interaction_scenario,Attempting_scenario
Attempt_means,Attempt
Attempt_obtain_food_scenario,Attempting_scenario
Attempt_obtain_mineral_scenario,Attempting_scenario
Attempt_suasion,Attempt
Attention,State
Avoiding,Intentionally_act
Bail_decision,Arraignment,Intentionally_act
Bearing_arms,State
Becoming,Event
Becoming_a_member,Intentionally_act
Becoming_aware,Perception
Be_in_agreement_on_assessment,Similarity
Being_active,Gradable_attributes
Being_at_risk,Gradable_attributes
Being_attached,Reciprocality,State
Being_awake,Sleep_wake_cycle
Being_born,Cycle_of_life_and_death
Being_dry,Gradable_attributes
Being_employed,Employee's_scenario
Being_in_operation,State
Being_located,State
Being_operational,Capability
Being_rotted,Gradable_attributes
Being_up_to_it,Capability
Being_wet,Gradable_attributes
Besieging,Attack
Be_subset_of,Being_included
Biological_area,Locale
Biological_urge,Gradable_attributes
Birth,Event
Body_decoration,Artifact
Body_description_holistic,Gradable_attributes
Body_description_part,Gradable_attributes
Body_mark,Physical_entity
Bounded_entity,Physical_entity
Bounded_region,Image_schema
Bragging,Judgment_communication
Building,Intentionally_create
Buildings,Artifact
Capability,Gradable_attributes
Capacity,Capability
Causation,Eventive_affecting
Cause_bodily_experience,Transitive_action
Cause_change,Transitive_action
Cause_change_of_consistency,Transitive_action
Cause_change_of_phase,Transitive_action
Cause_change_of_position_on_a_scale,Transitive_action
Cause_change_of_strength,Transitive_action
Cause_expansion,Transitive_action
Cause_fluidic_motion,Cause_motion
Cause_harm,Transitive_action
Cause_impact,Transitive_action
Cause_motion,Transitive_action
Cause_temperature_change,Transitive_action
Cause_to_amalgamate,Intentionally_affect
Cause_to_be_dry,Transitive_action
Cause_to_be_included,Transitive_action
Cause_to_be_sharp,Transitive_action
Cause_to_be_wet,Transitive_action
Cause_to_continue,Transitive_action
Cause_to_end,Transitive_action
Cause_to_experience,Intentionally_affect
Cause_to_fragment,Transitive_action
Cause_to_make_noise,Transitive_action
Cause_to_move_in_place,Transitive_action
Cause_to_perceive,Intentionally_affect
Cause_to_resume,Transitive_action
Cause_to_rot,Transitive_action
Cause_to_wake,Transitive_action
Ceasing_to_be,Cycle_of_existence_scenario,Event
Certainty,Gradable_attributes
Change_event_duration,Cause_change
Change_event_time,Cause_change
Change_of_consistency,Event
Change_of_phase,Change_of_phase_scenario
Change_of_state_endstate,Change_of_state_scenario,State
Change_of_state_initial_state,Change_of_state_scenario,State
Change_posture,Intentionally_act
Change_tool,Intentionally_act
Chatting,Reciprocality
